plant,GH_start,treatment,CO2,species,dryCoarseRootMass,dryFineRootMass,coarseRootDMC,fineRootDMC,SLA,LDMC,dryShootBiomass,shootDMC,dryRootBiomass,RGRshoot,RGRfineRoot,RGRcoarseRoot,RGRroot,RMF,allrootDMC,dryBiomass,rootFineProportion,stemDMC,stemDensity,rootDensity,root density
C24,3,control,A,cas,1.35,0.1505,0.326008211,0.338202247,21.43016069,0.656365884,5.876,1.76244751,1.5005,0.027611111,0.000836111,0.0075,0.008336111,0.203416254,0.252834659,7.3765,0.1002999,NA,NA,0.268170426,0.443502825
C23,4,waterlogged,A,cas,1.026,0.852,0.207734359,0.217291507,22.04714829,0.358174905,6.112,0.331381479,1.878,0.034809211,0.005605263,0.00675,0.012355263,0.235043805,0.262974112,7.99,0.453674121,0.354969574,0.395480226,0.387351779,0.308924485
C25,4,control,E,cas,4.05,1.976,0.31132293,0.178114296,19.1826087,0.36173913,11.082,0.361047762,6.026,0.056505556,0.010977778,0.0225,0.033477778,0.352232874,0.260710907,17.108,0.32791238,0.396634615,0.441570027,0.309751434,0.402521823
C26,4,recovery,E,cas,4.043,2.068,0.243378281,0.186205655,20.40697674,0.314637483,9.884,0.326981606,6.111,0.049061111,0.011488889,0.022461111,0.03395,0.382056893,0.207843074,15.995,0.338406153,0.381105398,0.414685315,0.396592244,0.371257485
C27,4,waterlogged,E,cas,1.991,0.364,0.229483633,0.181546135,20.88134382,0.345246605,6.324,0.328656065,2.355,0.035940789,0.002394737,0.013098684,0.015493421,0.271344625,0.218664814,8.679,0.154564756,0.362763916,0.443141852,0.298657718,0.345628415
C28,4,recovery,E,cas,2.619,1.444,0.236137409,0.238677686,20.36245955,0.356796117,7.271,0.334976504,4.063,0.035294444,0.008022222,0.01455,0.022572222,0.358478913,0.313752277,11.334,0.355402412,0.376479874,0.408390411,0.351898734,0.344277674
C29,4,recovery,E,cas,5.153,2.12,0.179315865,0.163883735,24.72481752,0.380291971,13.29,0.354740551,7.273,0.066933333,0.011777778,0.028627778,0.040405556,0.353693527,0.213644004,20.563,0.291489069,0.380876915,0.421637427,0.355481728,0.372318339
C31,4,control,E,cas,6.341,2.395,0.296349956,0.202571259,21.7599278,0.343862816,14.069,0.363643413,8.736,0.0722,0.013305556,0.035227778,0.048533333,0.383073887,0.159760104,22.805,0.27415293,0.40115942,0.454366382,0.344262295,0.387351779
C32,4,waterlogged,E,cas,1.172,0.757,0.284880895,0.2304414,21.40220588,0.350735294,4.908,0.333627897,1.929,0.026980263,0.004980263,0.007710526,0.012690789,0.28214129,0.248541304,6.837,0.392431312,0.372040586,0.408921933,0.302571861,0.309751434
C33,4,recovery,E,cas,7.92,4.975,0.240766074,0.17068652,21.4813154,0.3632287,16.225,0.366467904,12.895,0.082222222,0.027638889,0.044,0.071638889,0.442822802,0.18853482,29.12,0.385808453,0.398556876,0.446930033,0.341823056,0.396592244
C34,4,waterlogged,E,cas,3.017,1.074,0.24466791,0.168391345,16.77577465,0.336338028,11.764,0.307025786,4.091,0.068243421,0.007065789,0.019848684,0.026914474,0.258025859,0.251125093,15.855,0.262527499,0.336868901,0.360745116,0.404199475,0.298657718
C35,4,control,E,cas,6.102,2.166,0.293027276,0.391823444,18.87719298,0.325614035,9.841,0.351790949,8.268,0.048572222,0.012033333,0.0339,0.045933333,0.456568557,0.209007433,18.109,0.261973875,0.409032258,0.453505007,0.283707865,0.351898734
C36,4,waterlogged,E,cas,2.231,1.455,0.215368279,0.21105309,20.12699514,0.400416378,6.397,0.369576521,3.686,0.035644737,0.009572368,0.014677632,0.02425,0.365565804,0.249340525,10.083,0.394736842,0.361510791,0.400398406,0.352154532,0.355481728
C37,5,control,A,cas,3.937,1.364,0.174195832,0.128922495,18.76006441,0.353193773,8.484,0.329207248,5.301,0.041361111,0.007577778,0.021872222,0.02945,0.384548422,0.231460907,13.785,0.257309942,0.364593301,0.405750799,0.383810188,0.344262295
C38,5,waterlogged,A,cas,1.433,0.995,0.240638119,0.260880965,22.58165939,0.32489083,6.11,0.317254271,2.428,0.034710526,0.006546053,0.009427632,0.015973684,0.284375732,0.171032735,8.538,0.409802306,0.329764454,0.362637363,0.361403509,0.302571861
C39,5,waterlogged,A,cas,1.869,0.397,0.263833992,0.080445795,22.79452055,0.337899543,7.528,0.314164093,2.266,0.043539474,0.002611842,0.012296053,0.014907895,0.231366143,0.182127607,9.794,0.175198588,0.33915575,0.374598071,0.348998459,0.341823056
C40,5,waterlogged,A,cas,0.645,0.311,0.240312966,0.164550265,20.19836957,0.277173913,3.063,0.277521066,0.956,0.016717105,0.002046053,0.004243421,0.006289474,0.237870117,0.211599902,4.019,0.325313808,0.292682927,0.318584071,0.334862385,0.283707865
C41,5,control,A,cas,4.655,1.678,0.282240951,0.188412306,15.87600153,0.306753148,11.299,0.312213319,6.333,0.055972222,0.009322222,0.025861111,0.035183333,0.359176497,0.203005485,17.632,0.264961314,0.35443038,0.385321101,0.389878831,0.352154532
C42,5,control,A,cas,7.355,3.791,0.268616924,0.182487725,21.75761589,0.392715232,16.442,0.371151242,11.146,0.084577778,0.021061111,0.040861111,0.061922222,0.404016239,0.191201576,27.588,0.340122017,0.400641026,0.436757512,0.323636364,0.383810188
C43,5,recovery,A,cas,3.211,0.974,0.196812749,0.119450576,22.71376592,0.309278351,9.415,0.319879047,4.185,0.046888889,0.005411111,0.017838889,0.02325,0.307720588,0.195457387,13.6,0.232735962,0.355776588,0.396081772,0.368361582,0.361403509
C44,5,recovery,A,cas,4.23,1.656,0.195065714,0.155741559,17.23988439,0.349710983,11.863,0.337967579,5.886,0.059766667,0.0092,0.0235,0.0327,0.331624317,0.218705446,17.749,0.281345566,0.362099125,0.387157107,0.295890411,0.348998459
C45,5,waterlogged,A,cas,0.659,0.202,0.235525375,0.158929976,20.89604685,0.334553441,4.053,0.325176508,0.861,0.021552632,0.001328947,0.004335526,0.005664474,0.175213675,0.205471661,4.914,0.234610918,0.373831776,0.404040404,0.375830013,0.334862385
C46,5,recovery,A,cas,6.003,2.251,0.204017129,0.20035603,20.3272,0.3216,12.198,0.340583554,8.254,0.061088889,0.012505556,0.03335,0.045855556,0.403579112,0.250758342,20.452,0.272716259,0.359550562,0.40302267,0.331730769,0.389878831
C47,5,control,A,cas,1.947,0.965,0.226369027,0.145572485,22.26855124,0.306537102,6.78,0.302273741,2.912,0.0334,0.005361111,0.010816667,0.016177778,0.300453983,0.291329614,9.692,0.331387363,0.321128909,0.350249584,0.384311791,0.323636364
C48,5,recovery,A,cas,2.526,1.226,0.225676762,0.153192553,19.39976345,0.398580721,8.122,0.354069489,3.752,0.03875,0.006811111,0.014033333,0.020844444,0.315984504,0.27801615,11.874,0.326759062,0.379310345,0.42459605,0.359732824,0.368361582
E1,2,waterlogged,E,euc,3.667,1.526,0.232000506,0.346818182,29.71348979,0.419972987,18.812,0.376646779,5.193,0.087724832,0.010241611,0.024610738,0.034852349,0.216329931,0.25700287,24.005,0.293857115,0.379583746,0.348181818,0.215625,0.215625
E2,2,control,E,euc,10.999,3.544,0.253019254,0.194864464,27.96329114,0.434637514,28.09,0.366026869,14.543,0.134610465,0.020604651,0.063947674,0.084552326,0.341120728,0.187378049,42.633,0.243691123,0.33908214,0.365239295,0.2625,0.3112
E3,2,control,E,euc,11.695,0.78,0.324464543,0.249839846,28.43133201,0.411769384,21.882,0.370529667,12.475,0.091831395,0.004534884,0.067994186,0.07252907,0.363099223,0.200088355,34.357,0.06252505,0.388960205,0.414500684,0.27,0.365846682
E4,2,recovery,E,euc,20.705,3.134,0.273991637,0.17277689,29.01786824,0.442044748,31.783,0.377802344,23.839,0.159372093,0.01822093,0.120377907,0.138598837,0.428589407,0.177588033,55.622,0.131465246,0.407259141,0.430951709,0.25,0.292682927
E5,2,control,E,euc,17.669,1.492,0.337542506,0.261984197,26.54327563,0.413781625,25.868,0.38375267,19.161,0.12222093,0.008674419,0.102726744,0.111401163,0.425525772,0.201421183,45.029,0.0778665,0.395538244,0.405591866,0.310293386,0.378739656
E6,2,waterlogged,E,euc,5.234,1.778,0.217025335,0.128784586,38.79787077,0.453496969,21.402,0.389580603,7.012,0.117187919,0.011932886,0.035127517,0.047060403,0.246779756,0.159090909,28.414,0.253565317,0.392456219,0.397272727,0.1965496,0.302380952
E7,2,recovery,E,euc,12.105,5.448,0.231510701,0.224826675,28.08847515,0.407601169,32.44,0.375050581,17.553,0.168122093,0.031674419,0.070377907,0.102052326,0.351109155,0.242093102,49.993,0.310374295,0.383165278,0.471922246,0.34948605,0.350736278
E8,2,recovery,E,euc,9.254,4.118,0.222687458,0.228904947,28.86988848,0.40828099,26.517,0.366859894,13.372,0.129331395,0.02394186,0.053802326,0.077744186,0.335230264,0.309401238,39.889,0.307956925,0.362091939,0.393412957,0.375139978,0.324750192
E9,2,recovery,E,euc,5.573,1.835,0.218514743,0.158860705,26.65327895,0.421399435,19.019,0.349665392,7.408,0.090034884,0.010668605,0.032401163,0.043069767,0.28031937,0.151788069,26.427,0.247705184,0.343610548,0.382047812,0.282909931,0.30406766
E10,2,waterlogged,E,euc,2.643,0.43,0.198961156,0.137997433,34.77149949,0.447072565,11.3379,0.382313866,3.073,0.050254362,0.002885906,0.017738255,0.020624161,0.213241366,0.228183149,14.4109,0.139928409,0.378664104,0.384390244,0.341152473,0.2625
E11,2,waterlogged,E,euc,8.304,3.019,0.217410656,0.164120685,27.32267732,0.458291708,40.341,0.385153714,11.323,0.236174497,0.020261745,0.055731544,0.075993289,0.219166151,0.235865581,51.664,0.266625453,0.36886675,0.37025,0.3112,0.27
E12,2,waterlogged,E,euc,2.418,0.265,0.180622992,0.153980244,33.08836944,0.375142531,4.169,0.701970029,2.683,0.017013423,0.001778523,0.016228188,0.018006711,0.391564507,0.321815626,6.852,0.098770034,0.367205543,0.318,0.360443123,0.25
E13,3,recovery,A,euc,13.287,0.1488,0.208875684,0.048108632,27.00913082,0.376470588,10.399,0.179711397,13.4358,0.04255814,0.000865116,0.07725,0.078115116,0.563705171,0.186692378,23.8348,0.011074889,0.375502008,0.465405674,0.30087756,0.310293386
E14,3,waterlogged,A,euc,2.603,0.134,0.156158138,0.25046729,28.71056858,0.409090909,8.277,0.325213155,2.737,0.035020134,0.000899329,0.017469799,0.018369128,0.248501907,0.233816949,11.014,0.048958714,0.342933691,0.376747609,0.268031189,0.1965496
E16,3,control,A,euc,9.563,0.495,0.24740001,0.171161826,25.12556448,0.397265429,14.073,0.360790648,10.058,0.060034884,0.002877907,0.055598837,0.058476744,0.416808255,0.15947975,24.131,0.049214556,0.382081686,0.400276052,0.231920725,0.34948605
E17,3,control,A,euc,8.903,1.194,0.333146236,0.202030457,30.65568921,0.380398344,22.691,0.358592244,10.097,0.114988372,0.00694186,0.051761628,0.058703488,0.30794803,0.289004134,32.788,0.118252946,0.37357631,0.399512789,0.376226827,0.375139978
E18,3,recovery,A,euc,3.174,0.854,0.159537572,0.12857573,29.16982183,0.36247216,18.572,0.693969061,4.028,0.098226744,0.004965116,0.018453488,0.023418605,0.178230088,0.273899049,22.6,0.212015889,0.347866419,0.354442344,0.30111055,0.282909931
E19,3,recovery,A,euc,16.21,3.116,0.244989874,0.168170534,27.52131195,0.394307181,37.96,0.363535372,19.3262,0.195773256,0.018117442,0.094244186,0.112361628,0.337362227,0.191383953,57.2862,0.161231903,0.38289506,0.415134559,0.222222222,0.341152473
E20,3,control,A,euc,12.744,1.45,0.330480784,0.261544012,27.13244391,0.35839903,17.328,0.343523254,14.194,0.078598837,0.008430233,0.074093023,0.082523256,0.450288687,0.29711669,31.522,0.10215584,0.374069207,0.385379061,0.340101523,0.360443123
E21,3,recovery,A,euc,6.021,2.402,0.207864393,0.148721441,29.97561728,0.386265432,17.481,0.340163456,8.423,0.085005814,0.013965116,0.035005814,0.04897093,0.325162137,0.207652008,25.904,0.285171554,0.346938776,0.360606061,0.250172771,0.30087756
E22,3,waterlogged,A,euc,6.44,2.182,0.225419161,0.262701661,32.89434678,0.389693209,23.302,0.344088244,8.622,0.133597315,0.014644295,0.043221477,0.057865772,0.270078937,0.182227659,31.924,0.253073533,0.37372407,0.376826029,0.224570674,0.268031189
E23,3,waterlogged,A,euc,5.271,2.27,0.227227659,0.094237795,30.63583535,0.432445521,25.29,0.352272569,7.541,0.145020134,0.015234899,0.035375839,0.050610738,0.22969145,0.31851606,32.831,0.301021085,0.369429098,0.383996937,0.365846682,0.231920725
E24,3,control,A,euc,17.578,1.648,0.297392864,0.222162308,27.20198675,0.433112583,26.648,0.395083693,19.226,0.126482558,0.009581395,0.102197674,0.11177907,0.419104504,0.211138853,45.874,0.085717258,0.400578752,0.418755402,0.29813418,0.376226827
E25,4,recovery,E,euc,11.083,7.128,0.242341416,0.343435317,27.65087197,0.433602722,22.683,0.374004518,18.211,0.096139535,0.04144186,0.064436047,0.105877907,0.445322052,0.207877734,40.894,0.391411784,0.363699342,0.277998411,0.220112214,0.30111055
E26,4,waterlogged,E,euc,3.651,1.68,0.206492845,0.165126794,32.30160197,0.395769152,19.69,0.342547972,5.331,0.100711409,0.011275168,0.024503356,0.035778523,0.213061029,0.287154197,25.021,0.315137873,0.363716039,0.387126866,0.876380952,0.222222222
E27,4,control,E,euc,10.099,1.061,0.290059454,0.386661808,28.24424371,0.410910379,12.36,0.375204906,11.16,0.055401163,0.006168605,0.058715116,0.064883721,0.474489796,0.323846513,23.52,0.095071685,0.386243386,0.393682589,0.392420843,0.340101523
E28,4,waterlogged,E,euc,2.751,1.173,0.221765417,0.180683919,27.43107196,0.415055486,12.928,0.350285854,3.924,0.058120805,0.007872483,0.018463087,0.02633557,0.2328507,0.319984304,16.852,0.298929664,0.365714286,0.420499343,0.352922886,0.250172771
E29,4,recovery,E,euc,2.907,0.37,0.179688466,0.20498615,28.12474604,0.35046729,5.79,0.339330716,3.277,0.021755814,0.002151163,0.016901163,0.019052326,0.361420536,0.231217504,9.067,0.112908148,0.356906077,0.369142857,0.329012961,0.224570674
E30,4,recovery,E,euc,7.652,2.834,0.217485221,0.195718232,27.8490539,0.431622706,21.306,0.371806506,10.486,0.101110465,0.016476744,0.044488372,0.060965116,0.329831404,0.321230785,31.792,0.270265115,0.367629118,0.393728223,0.363705972,0.29813418
E31,4,waterlogged,E,euc,2.684,0.662,0.216783782,0.178196501,32.19961269,0.398033666,10.374,0.350579568,3.346,0.048033557,0.004442953,0.018013423,0.022456376,0.243877551,0.220214541,13.72,0.197848177,0.352522639,0.417624521,0.27563249,0.220112214
E32,4,waterlogged,E,euc,12.07,1.206,0.321901003,0.13803365,30.77263158,0.414947368,32.833,0.360917215,13.276,0.186375839,0.00809396,0.081006711,0.089100671,0.287926435,0.245365659,46.109,0.090840615,0.399358746,0.474196277,0.29604245,0.876380952
E33,4,control,E,euc,14.074,1.185,0.348849891,0.17493357,26.3670342,0.450850308,30.241,0.40177231,15.259,0.141360465,0.006889535,0.081825581,0.088715116,0.335362637,0.285631304,45.5,0.077659086,0.402925046,0.437301587,0.333959605,0.392420843
E34,4,control,E,euc,12.503,2.175,0.321463465,0.31173857,31.61063897,0.398069458,21.879,0.365643331,14.678,0.099046512,0.012645349,0.07269186,0.085337209,0.401509971,0.254399351,36.557,0.148180951,0.37491065,0.39946687,0.292682927,0.352922886
E35,4,recovery,E,euc,7.58,5.672,0.241332102,0.21895387,28.34974629,0.437511746,26.337,0.381060551,13.252,0.134517442,0.032976744,0.044069767,0.077046512,0.334739448,0.186344305,39.589,0.428010866,0.362728785,0.384140969,0.268276762,0.329012961
E36,4,control,E,euc,11.065,1.87,0.335954579,0.255081162,27.63536472,0.382385259,18.1,0.36414115,12.935,0.074389535,0.010872093,0.064331395,0.075203488,0.416787498,0.209624276,31.035,0.144568999,0.397860418,0.427945205,0.327825859,0.363705972
E37,5,waterlogged,A,euc,2.854,1.765,0.207956864,0.243414701,33.18286476,0.373121667,12.543,0.316175544,4.619,0.06014094,0.011845638,0.019154362,0.031,0.269141126,0.251331352,17.162,0.382117341,0.332892124,0.389620449,0.317158115,0.27563249
E38,5,control,A,euc,10.863,2.638,0.252012528,0.221327293,32.93104175,0.397089836,28.835,0.349176556,13.501,0.150889535,0.015337209,0.063156977,0.078494186,0.318901172,0.206754411,42.336,0.195392934,0.33546004,0.358836207,0.256365233,0.29604245
E39,5,control,A,euc,13.151,3.076,0.288994858,0.272091995,51.15728587,0.388876529,22.694,0.350676041,16.227,0.106093023,0.017883721,0.076459302,0.094343023,0.416921456,0.287730589,38.921,0.189560609,0.343208092,0.358761329,0.324315823,0.333959605
E40,5,waterlogged,A,euc,2.909,1.122,0.205046874,0.150705171,32.1470148,0.366372859,13.156,0.296888046,4.031,0.07,0.007530201,0.01952349,0.027053691,0.234537732,0.345985112,17.187,0.278342843,0.304601048,0.350536193,0.372188139,0.268276762
E41,5,recovery,A,euc,12.262,3.516,0.222411667,0.174612634,28.41111553,0.38645854,28.691,0.34473602,15.778,0.137697674,0.02044186,0.071290698,0.091732558,0.354808968,0.248563017,44.469,0.222841932,0.357598978,0.374206482,0.345451011,0.327825859
E42,5,recovery,A,euc,11.771,8.098,0.243247711,0.264088182,31.09926358,0.404571955,32.642,0.346724167,19.869,0.166761628,0.047081395,0.068436047,0.115517442,0.378377864,0.20245478,52.511,0.407569581,0.341073271,0.367120244,0.277497477,0.317158115
E43,5,waterlogged,A,euc,1.972,0.887,0.191289165,0.252060244,32.68002343,0.339777387,8.241,0.305052748,2.859,0.033469799,0.00595302,0.013234899,0.019187919,0.257567568,0.268020261,11.1,0.310248339,0.322992701,0.384782609,0.323228763,0.256365233
E44,5,control,A,euc,12.331,5.731,0.279051348,0.308366963,30.4619226,0.383825773,29.084,0.359110496,18.062,0.169932886,0.038463087,0.082758389,0.121221477,0.383107793,0.330128702,47.146,0.317295981,0.350809289,0.366678926,0.378739656,0.324315823
E45,5,control,A,euc,12.579,4.85,0.337148218,0.371220819,28.90799152,0.418900386,22.125,0.378612865,17.429,0.102965116,0.028197674,0.073133721,0.101331395,0.440638115,0.184900984,39.554,0.278271846,0.387298091,0.407021605,0.302380952,0.372188139
E46,5,recovery,A,euc,12.789,6.714,0.256462189,0.234788082,29.21498076,0.434713736,39.654,0.373066647,19.503,0.201104651,0.039034884,0.074354651,0.113389535,0.329682033,0.229394007,59.157,0.34425473,0.379975124,0.407469156,0.350736278,0.345451011
E47,5,waterlogged,A,euc,2.256,0.878,0.2375487,0.146749123,29.4120556,0.356722801,11.066,0.320391442,3.134,0.052765101,0.005892617,0.01514094,0.021033557,0.220704225,0.224565882,14.2,0.280153159,0.347177158,0.40777439,0.324750192,0.277497477
E48,5,recovery,A,euc,7.709,4.673,0.282091628,0.247641759,26.34505022,0.401901004,26.522,0.35332987,12.382,0.136011628,0.027168605,0.044819767,0.071988372,0.318270615,0.199919039,38.904,0.377402681,0.37922189,0.388864533,0.30406766,0.323228763
