plant,species,photo,cond,ci,time,treatment,CO2
A13,acacia,22.82146262,0.763770283,318.153405,pre,flooded,A
A14,acacia,30.20491483,1.312198843,327.8400275,pre,flooded,A
A15,acacia,18.25791968,0.908607917,335.664038,pre,control,A
A16,acacia,24.30497989,0.790979519,317.9885713,pre,flooded,A
A2,acacia,30.69476646,0.63136853,442.7820625,pre,control,E
A21,acacia,26.71819726,0.781249962,312.7315672,pre,control,A
A23,acacia,24.46149486,0.911361305,322.4755218,pre,flooded,A
A26,acacia,32.97961776,0.727742726,432.9309556,pre,control,E
A29,acacia,22.13400059,0.757290895,462.4100778,pre,control,E
A3,acacia,34.26872466,1.015849937,465.9915602,pre,flooded,E
A31,acacia,25.7974436,0.581719939,433.6321221,pre,flooded,E
A32,acacia,26.35623373,0.440732216,414.457683,pre,flooded,E
A35,acacia,25.7974436,0.581719939,433.6321221,pre,flooded,E
A38,acacia,18.84328726,0.475420754,312.1015463,pre,flooded,A
A39,acacia,21.42562265,0.609148604,319.846107,pre,control,A
A40,acacia,31.27377042,1.250031062,332.6923596,pre,flooded,A
A42,acacia,25.1634409,0.78675256,325.3663803,pre,flooded,A
A44,acacia,23.77714076,0.645611337,319.8275582,pre,control,A
A45,acacia,19.52731619,0.678300616,332.1634204,pre,flooded,A
A5,acacia,35.3580817,1.099480702,464.6610845,pre,flooded,E
A6,acacia,37.08345216,1.290789793,475.0292811,pre,control,E
A8,acacia,44.36531158,1.773200821,480.9943662,pre,flooded,E
A9,acacia,30.37815362,0.78619443,458.5081527,pre,flooded,E
C10,cas,22.66196796,0.5724415,453.9933985,pre,flooded,E
C11,cas,43.11638093,0.928460093,432.9206671,pre,flooded,E
C13,cas,31.57504806,0.919802147,306.3605792,pre,flooded,A
C14,cas,30.35259315,1.10516952,316.1244962,pre,control,A
C16,cas,18.20910655,0.669084192,320.4979909,pre,control,A
C18,cas,36.20711649,1.223020101,310.5379427,pre,flooded,A
C19,cas,19.82074692,0.573270631,309.7617657,pre,flooded,A
C22,cas,43.86234541,1.231488079,299.2901027,pre,flooded,A
C26,cas,32.53426763,0.674420783,428.0966501,pre,flooded,E
C27,cas,42.32828006,1.058925567,438.9609474,pre,flooded,E
C3,cas,38.15615331,0.983619867,450.2861548,pre,flooded,E
C31,cas,31.29123789,0.579246783,426.4371231,pre,control,E
C33,cas,40.33798865,1.198261188,453.5906056,pre,flooded,E
C34,cas,46.40410244,0.931401444,426.7316749,pre,flooded,E
C35,cas,29.80380274,0.867361295,458.9960103,pre,control,E
C39,cas,36.96749339,1.711720676,332.5463056,pre,flooded,A
C40,cas,24.06955432,1.644795533,353.7302828,pre,flooded,A
C41,cas,45.99335254,1.213803049,306.1617548,pre,control,A
C42,cas,21.08116055,0.735656068,334.9974555,pre,control,A
C44,cas,28.56048679,1.148110636,335.4879093,pre,flooded,A
C48,cas,26.64409229,0.767212591,322.9722577,pre,flooded,A
C7,cas,33.46700135,0.907711269,456.1092449,pre,flooded,E
C8,cas,36.8743727,0.731232962,431.0964323,pre,control,E
C9,cas,34.95911024,1.03668397,459.09462,pre,control,E
E12,euc,30.11529257,0.51080746,391.5171743,pre,flooded,E
E13,euc,23.45107065,0.549511363,275.2891645,pre,flooded,A
E19,euc,21.97128494,0.60991549,288.6603115,pre,flooded,A
E2,euc,30.07022185,0.45774176,378.5713868,pre,control,E
E20,euc,18.24783967,0.527219369,296.8595203,pre,control,A
E22,euc,21.20352034,0.658015514,295.2420247,pre,flooded,A
E23,euc,24.79577041,0.804255994,292.3389988,pre,flooded,A
E24,euc,16.16535928,0.644298491,314.4354518,pre,control,A
E25,euc,24.87679281,0.318188129,358.7928865,pre,flooded,E
E26,euc,28.17087246,0.61853167,407.6050862,pre,flooded,E
E28,euc,27.40840967,0.624307848,409.0535105,pre,flooded,E
E30,euc,26.70864005,0.570682348,405.6913177,pre,flooded,E
E33,euc,18.78396876,0.261361863,377.4015652,pre,control,E
E34,euc,21.83095594,0.343100549,385.8672788,pre,control,E
E39,euc,21.94651407,0.579681217,291.8729382,pre,control,A
E40,euc,21.44321176,0.588818707,295.0801311,pre,flooded,A
E44,euc,23.33080244,0.793861815,303.0792756,pre,control,A
E46,euc,21.35874925,0.480002105,281.6862566,pre,flooded,A
E47,euc,20.08352399,0.485017983,288.9634835,pre,flooded,A
E48,euc,19.41742474,0.742679081,314.894761,pre,flooded,A
E5,euc,35.95808443,0.578988619,374.9041849,pre,control,E
E6,euc,26.8948845,0.593600011,416.4640758,pre,flooded,E
E7,euc,29.99685479,0.559210055,400.3641943,pre,flooded,E
E8,euc,24.36740252,0.451793354,408.7491807,pre,flooded,E
A13,acacia,15.68473015,0.732833691,338.2728067,mid,flooded,A
A14,acacia,23.91143714,0.387093532,270.4718268,mid,flooded,A
A15,acacia,29.77488563,0.87628306,311.9898124,mid,control,A
A16,acacia,17.99211633,0.424742499,303.6474176,mid,flooded,A
A2,acacia,33.46367491,0.368757006,361.500784,mid,control,E
A21,acacia,22.67963562,0.346929432,265.3622136,mid,control,A
A23,acacia,21.13528909,0.493847018,302.5680117,mid,flooded,A
A26,acacia,42.91114223,0.668804241,403.4287392,mid,control,E
A29,acacia,32.75380337,0.646351993,430.5454417,mid,control,E
A3,acacia,21.69001231,0.153526363,287.1312513,mid,flooded,E
A31,acacia,20.59653664,0.183125147,334.3739634,mid,flooded,E
A32,acacia,21.24372926,0.410592954,429.6311412,mid,flooded,E
A35,acacia,22.88196179,0.182419352,311.5315031,mid,flooded,E
A38,acacia,11.29658425,0.228357658,293.5916411,mid,flooded,A
A39,acacia,19.17887626,0.225094942,235.7484239,mid,control,A
A40,acacia,30.44499638,0.586168843,285.568388,mid,flooded,A
A42,acacia,30.23554973,0.616475053,288.5477434,mid,flooded,A
A44,acacia,31.50016358,0.741282319,296.6042097,mid,control,A
A45,acacia,18.45371597,0.466617099,308.4472504,mid,flooded,A
A5,acacia,28.17858441,0.204121143,291.8118838,mid,flooded,E
A6,acacia,30.55356065,0.656444775,433.4818477,mid,control,E
A8,acacia,32.59975021,0.345279887,354.627489,mid,flooded,E
A9,acacia,27.30578771,0.295783394,361.4034329,mid,flooded,E
C10,cas,28.18365088,0.404670321,402.274425,mid,flooded,E
C11,cas,23.44318024,0.336490187,402.9853381,mid,flooded,E
C13,cas,12.91078999,0.415963277,325.2944678,mid,flooded,A
C14,cas,23.86963698,0.665468964,313.8275427,mid,control,A
C16,cas,28.61828485,0.747528285,306.5818737,mid,control,A
C18,cas,12.51104602,0.408025786,324.9192825,mid,flooded,A
C19,cas,17.67920514,0.457815675,310.3591926,mid,flooded,A
C22,cas,18.52818825,0.38793082,295.3782404,mid,flooded,A
C26,cas,11.87278035,0.454210989,474.198215,mid,flooded,E
C27,cas,7.702969964,0.443315216,486.7335487,mid,flooded,E
C3,cas,10.89080606,0.189900261,426.1505897,mid,flooded,E
C31,cas,15.41208215,0.303085599,430.0283294,mid,control,E
C33,cas,5.448010651,0.386099705,492.3434125,mid,flooded,E
C34,cas,17.86420494,0.241009296,394.2966974,mid,flooded,E
C35,cas,15.03480376,0.866784792,486.448037,mid,control,E
C39,cas,20.7495471,0.437236091,295.7791417,mid,flooded,A
C40,cas,26.70181614,0.660048295,304.9607227,mid,flooded,A
C41,cas,25.26609114,0.599472889,303.9630548,mid,control,A
C42,cas,26.39026187,0.607689901,300.7374947,mid,control,A
C44,cas,21.56649588,0.475210364,299.8128155,mid,flooded,A
C48,cas,19.47451748,0.385224708,291.8159219,mid,flooded,A
C7,cas,27.87774388,0.521215466,426.5597049,mid,flooded,E
C8,cas,31.1989913,0.413869828,389.2744664,mid,control,E
C9,cas,30.64401495,0.505659428,412.0887165,mid,control,E
E12,euc,19.29096754,0.266988914,375.2370438,mid,flooded,E
E13,euc,14.5139749,0.168658909,219.1618119,mid,flooded,A
E19,euc,10.22920754,0.129370989,236.8152874,mid,flooded,A
E2,euc,21.92938753,0.358908203,390.2256495,mid,control,E
E20,euc,11.0945743,0.476727192,325.3482242,mid,control,A
E22,euc,17.77514825,0.424444803,285.4733152,mid,flooded,A
E23,euc,9.628677927,0.137237083,251.5094686,mid,flooded,A
E24,euc,7.416456938,0.086599488,230.1698456,mid,control,A
E25,euc,21.02165808,0.348436492,392.9221852,mid,flooded,E
E26,euc,14.69029525,0.255732446,406.7241913,mid,flooded,E
E28,euc,22.08020446,0.607046053,430.0970223,mid,flooded,E
E30,euc,5.34279523,0.226996022,476.2674359,mid,flooded,E
E33,euc,19.48946467,0.333940442,399.0474239,mid,control,E
E34,euc,23.87663084,0.632193518,427.9717839,mid,control,E
E39,euc,21.1967563,0.632941481,294.6377553,mid,control,A
E40,euc,19.41835001,0.541052307,292.9072468,mid,flooded,A
E44,euc,22.71353174,0.901681521,306.4304051,mid,control,A
E46,euc,20.78933206,1.011511393,316.5392926,mid,flooded,A
E47,euc,18.2078034,0.356830732,269.8152657,mid,flooded,A
E48,euc,20.88639711,0.445681826,271.8635979,mid,flooded,A
E5,euc,24.76477841,0.244807516,322.0295034,mid,control,E
E6,euc,12.57065346,0.21119497,405.677163,mid,flooded,E
E7,euc,11.57194347,0.115592777,342.0233501,mid,flooded,E
E8,euc,12.47957836,0.131726689,349.9596182,mid,flooded,E
A13,acacia,21.65726401,0.444325104,292.9615723,end,flooded,A
A14,acacia,19.52318505,0.392169694,293.4637838,end,flooded,A
A15,acacia,20.93248116,1.306447533,345.6628606,end,control,A
A16,acacia,18.72329567,0.397248259,297.9923002,end,flooded,A
A2,acacia,30.36071246,0.408916989,390.2329707,end,control,E
A21,acacia,15.09622274,0.214609228,261.432054,end,control,A
A23,acacia,19.18915749,0.309597717,273.006772,end,flooded,A
A26,acacia,33.04705829,0.464655229,392.3178554,end,control,E
A29,acacia,32.26036362,0.536669789,410.133355,end,control,E
A3,acacia,24.87673274,0.212295687,325.0637039,end,flooded,E
A32,acacia,13.36758115,0.181659266,396.01943,end,flooded,E
A35,acacia,54.3924114,0.788660082,387.0571047,end,flooded,E
A38,acacia,12.92513789,0.126001411,208.0625473,end,flooded,A
A39,acacia,25.27865648,0.413736515,270.9762029,end,control,A
A40,acacia,29.87004354,0.450817914,261.7061813,end,flooded,A
A42,acacia,29.49048834,0.489836089,269.2472606,end,flooded,A
A44,acacia,28.0059836,0.390186596,250.8713954,end,control,A
A45,acacia,20.12749669,0.334086741,273.7764759,end,flooded,A
A5,acacia,9.968982054,0.093507754,347.5652133,end,flooded,E
A6,acacia,30.06094866,0.458781293,405.6110269,end,control,E
A8,acacia,21.11180501,0.18291865,327.6183799,end,flooded,E
A9,acacia,27.9271053,0.323606739,370.2531433,end,flooded,E
C10,cas,15.51354597,0.407143692,452.680635,end,flooded,E
C11,cas,40.00630529,0.487375187,374.3140239,end,flooded,E
C13,cas,23.79227332,0.64323297,312.6891243,end,flooded,A
C14,cas,26.50219303,0.727616844,312.3247105,end,control,A
C16,cas,27.45774691,1.016930681,329.2436486,end,control,A
C18,cas,16.67027425,0.557591128,325.9720761,end,flooded,A
C19,cas,18.05700983,0.550014083,320.7389885,end,flooded,A
C22,cas,22.76196526,0.673487403,318.6433807,end,flooded,A
C26,cas,32.52727128,0.54578245,412.3830645,end,flooded,E
C27,cas,29.43252349,0.587841747,428.2157784,end,flooded,E
C3,cas,31.26372092,0.480705847,407.6623728,end,flooded,E
C31,cas,32.22101016,0.617615395,425.9218184,end,control,E
C33,cas,28.62727719,0.509286476,419.1528899,end,flooded,E
C34,cas,36.8438701,0.562468371,401.5428503,end,flooded,E
C35,cas,26.86026967,0.559078802,432.8854644,end,control,E
C39,cas,31.36141211,0.632998547,287.8046457,end,flooded,A
C40,cas,34.33798525,0.718967619,289.4412961,end,flooded,A
C41,cas,29.85021836,0.637072488,291.9686526,end,control,A
C42,cas,35.45658637,0.820100694,295.8627176,end,control,A
C44,cas,26.30995402,0.589131063,296.5696558,end,flooded,A
C48,cas,29.71406663,0.729354512,301.2768448,end,flooded,A
C7,cas,36.57961065,0.651859852,418.0823571,end,flooded,E
C8,cas,36.73060151,0.329705241,329.7542933,end,control,E
C9,cas,41.58761763,0.594074687,395.3693699,end,control,E
E12,euc,25.82112443,0.459859545,393.2037858,end,flooded,E
E13,euc,18.61015065,0.341240368,264.9786909,end,flooded,A
E19,euc,11.67730586,0.163246804,248.2283907,end,flooded,A
E2,euc,16.20385081,0.217807825,378.9333343,end,control,E
E20,euc,7.564159741,0.103181216,249.579576,end,control,A
E22,euc,17.24921378,0.400079364,284.2858371,end,flooded,A
E23,euc,14.8581686,0.359285099,293.385127,end,flooded,A
E24,euc,12.50167701,0.144920151,223.2431353,end,control,A
E25,euc,20.14407731,0.311252318,386.1163627,end,flooded,E
E26,euc,14.50660125,0.25367579,407.1965965,end,flooded,E
E28,euc,15.70945922,0.153215314,332.6954199,end,flooded,E
E30,euc,19.66828729,0.68823582,447.741408,end,flooded,E
E33,euc,17.25339674,0.141550068,301.3809661,end,control,E
E34,euc,22.04154529,0.251300814,347.6696129,end,control,E
E39,euc,12.12878894,0.124510607,204.4442699,end,control,A
E40,euc,15.95697489,0.328252757,276.3012705,end,flooded,A
E44,euc,20.99256426,0.687731866,299.2765178,end,control,A
E46,euc,18.90278123,0.806818488,314.0800381,end,flooded,A
E47,euc,13.76327187,0.194241158,244.335335,end,flooded,A
E48,euc,16.9367558,0.387215724,282.8188809,end,flooded,A
E5,euc,19.90906298,0.124045044,235.9528627,end,control,E
E6,euc,17.51169073,0.264880819,388.9991549,end,flooded,E
E7,euc,19.01998564,0.281244412,384.4347316,end,flooded,E
E8,euc,19.94183555,0.341844325,399.1551999,end,flooded,E
A15,acacia,6.423564463,0.469492012,354.8810635,recovered,control,A
A16,acacia,16.17828565,0.248700851,269.3758749,recovered,recovery,A
A2,acacia,23.06985723,0.419835044,422.8982994,recovered,control,E
A21,acacia,9.899868712,0.331392178,327.4757965,recovered,control,A
A23,acacia,16.21283468,0.266028064,276.1893895,recovered,recovery,A
A26,acacia,18.67174651,0.334060888,422.1308219,recovered,control,E
A29,acacia,26.20326153,0.47286215,419.5204427,recovered,control,E
A31,acacia,20.84508457,0.526244945,448.3315779,recovered,recovery,E
A35,acacia,31.87727507,0.425676286,389.412689,recovered,recovery,E
A39,acacia,13.34305834,0.304294632,304.0792328,recovered,control,A
A40,acacia,17.64499123,0.328165784,289.4360669,recovered,recovery,A
A44,acacia,23.95718357,0.542331494,301.7803476,recovered,control,A
A45,acacia,18.57713388,0.23560538,249.0174664,recovered,recovery,A
A5,acacia,28.95547579,0.638150838,433.600411,recovered,recovery,E
A6,acacia,9.041186175,0.927970307,496.9535073,recovered,control,E
A8,acacia,18.76809654,0.376813365,431.6903181,recovered,recovery,E
C10,cas,44.45647343,0.74489757,407.2734,recovered,recovery,E
C11,cas,26.35298581,0.4397997,414.3153625,recovered,recovery,E
C13,cas,30.01464209,0.653614956,296.1677792,recovered,recovery,A
C14,cas,23.6336378,0.403202795,277.6464179,recovered,control,A
C16,cas,34.45741254,0.702238254,291.4095078,recovered,control,A
C18,cas,25.81680197,0.561041272,297.7961691,recovered,recovery,A
C26,cas,33.17767185,0.54665721,409.9473253,recovered,recovery,E
C31,cas,37.68998805,0.629941315,409.7441861,recovered,control,E
C33,cas,37.52474421,0.717143541,421.6927458,recovered,recovery,E
C35,cas,49.10252895,0.877861272,417.4532258,recovered,control,E
C41,cas,23.1618874,0.586936665,309.2323798,recovered,control,A
C42,cas,19.96482234,0.412263332,294.5729152,recovered,control,A
C44,cas,26.91813075,0.491186072,285.3385905,recovered,recovery,A
C48,cas,26.8882435,0.562064895,296.5721733,recovered,recovery,A
C8,cas,31.14544251,0.536344833,415.9511615,recovered,control,E
C9,cas,34.48692223,0.585367459,413.4688593,recovered,control,E
E13,euc,23.3674271,0.703010811,293.4788321,recovered,recovery,A
E19,euc,14.14895265,0.300450858,283.8641625,recovered,recovery,A
E2,euc,14.09601086,0.305087354,425.3710072,recovered,control,E
E20,euc,1.416279362,0.020753285,264.9537219,recovered,control,A
E24,euc,12.0129287,0.182210792,255.2181651,recovered,control,A
E25,euc,24.96757915,0.335130169,364.9125823,recovered,recovery,E
E30,euc,21.66524876,0.467120332,414.4561274,recovered,recovery,E
E33,euc,17.81501933,0.141192097,293.7922305,recovered,control,E
E34,euc,18.28981402,0.162954574,314.7039516,recovered,control,E
E39,euc,14.88092014,0.213871988,244.5895548,recovered,control,A
E44,euc,11.4410031,0.132734801,223.2044265,recovered,control,A
E46,euc,16.91378799,0.529353667,304.6389464,recovered,recovery,A
E48,euc,17.53087831,0.562482679,304.4277064,recovered,recovery,A
E5,euc,10.38098629,0.08011286,298.2586707,recovered,control,E
E7,euc,19.54109177,0.293548136,383.4163908,recovered,recovery,E
E8,euc,18.19744281,0.3206156,401.6082726,recovered,recovery,E
